epoch,train_loss,train_acc,val_loss,val_acc
1,4.492983185085258,18.429264776621395,2.922472994546501,37.316
2,2.8092800902036776,42.770253707464285,2.146225872088452,51.22
3,2.2760784324917895,52.53146493598772,1.8267621762898503,57.808
4,2.0054698757086094,57.93421514893655,1.6392345233839385,61.204
5,1.8602667853468378,61.0682484421322,1.578944523039521,62.976
6,1.728284422693684,63.78503376447119,1.4776149246157433,64.582
7,1.633426980394163,65.74656549568354,1.4193053220455745,65.966
8,1.5670128857930494,67.28104496377141,1.3782748416522328,66.696
9,1.495604272858886,68.72080173404758,1.3609281630084222,67.03
10,1.4513061502989333,69.74571553197572,1.3288350313597797,67.594
11,1.3960043693253792,70.9612701468408,1.3013532944783872,68.156
12,1.3645734762109867,71.73842479342045,1.3475983596729988,67.622
13,1.3178229150044183,72.79603136658092,1.286012968694677,68.79
14,1.278712940267263,73.59220270814208,1.2746382814128787,68.982
15,1.2510844259026126,74.26404960744475,1.2529170152027995,69.334
16,1.2358990594531851,74.742088049433,1.2887612437563283,69.09
17,1.2165366875623917,75.27918671259019,1.2815600087752148,69.158
18,1.1788494997470678,76.02583415028703,1.2411425243683007,69.692
19,1.1540417430860623,76.62892184679984,1.240681305527687,69.642
20,1.1307072868712822,77.19795246744083,1.2456759447802086,69.752
21,1.1027690165118424,77.77774985633826,1.27897701108334,69.46
22,1.0939522881702308,78.15895864762655,1.2299882438109846,70.09
23,1.0760560237601269,78.59964171181754,1.224003886157761,70.158
24,1.0635395152278504,79.00607450621611,1.2556038000906,69.994
25,1.045967358194628,79.33870838000391,1.2362221660358566,70.034
26,1.0259242675743798,79.84154898183787,1.2460575201073472,70.092
27,1.003120509572171,80.31975400011667,1.229115867036946,70.138
28,0.9882205240820995,80.69109149131364,1.2366727739572525,70.196
29,0.9794229904002363,80.98915623079266,1.2377267694290803,70.32
30,0.9696829842351997,81.27125182613082,1.2512784012574323,70.024
31,0.9479196932770705,81.72318332936406,1.230882121592152,70.268
32,0.9463863905071446,81.88313039899376,1.2239406337695462,70.67
33,0.9341828330111873,82.17793211767422,1.2262233088971402,70.426
34,0.9118004750828376,82.61001001939049,1.2386819478504512,70.25
35,0.9224642714272695,82.62369640308034,1.2346368493626312,70.468
36,0.8961201208342973,83.07885371097102,1.250967047272288,70.188
37,0.8893357831351753,83.33805255319653,1.2465323507785797,70.316
38,0.8753104761151335,83.73955175002673,1.2365271519033276,70.482
39,0.8740711216902255,83.81215177351879,1.2376758854608148,70.374
40,0.8674577939905646,83.98880135857856,1.24255106324444,70.676
41,0.8512811177740223,84.3118977767568,1.2386456014094305,70.556
42,0.8442484547303714,84.53010287399928,1.2380093306455078,70.668
43,0.8416873892349508,84.70995958582314,1.2312121273455572,70.932
44,0.8345955861819803,84.85016418188911,1.2504218113513625,70.558
45,0.8238057110313872,85.1059054917695,1.2442871296436202,70.588
46,0.8208366453095443,85.19476164940697,1.243998379275507,70.762
47,0.7998026508671989,85.64884789561609,1.2457788682409696,70.6
48,0.79517101580558,85.79165177673,1.2419576751334327,70.716
49,0.7943082536467289,85.87813725604774,1.2555076413008632,70.406
50,0.780269394571589,86.21721764584608,1.2463271529698858,70.69
51,0.775483026780386,86.37982944161469,1.247465865724549,70.848
52,0.7758872156662854,86.39616307014,1.2478954116908871,70.624
53,0.7570365492028549,86.79324921785802,1.247191164566546,70.806
54,0.7584633302845655,86.8135551668605,1.267920125199824,70.368
55,0.7498445438518391,86.97219672719585,1.2476037954341392,70.95
56,0.7422473700892901,87.0731041664561,1.25473133793899,70.76
57,0.7440090878590155,87.17015002125808,1.2499766387045383,70.836
58,0.7354514427633589,87.37568591272883,1.2539155390493724,71.042
59,0.7380115952676879,87.38369187956572,1.251908757856914,70.92
60,0.7145540647682538,87.83351166859957,1.2548078013469979,70.952
61,0.7227781997819454,87.72382485878708,1.2555917821520446,70.844
62,0.7209055316353089,87.80630496094832,1.256562460061847,70.754
63,0.7173226774894177,87.90665111060268,1.2509136691841545,71.112
64,0.7145181481531683,87.98074454462332,1.253948572338844,71.074
65,0.7066549829233546,88.12046546387546,1.256165445611185,70.876
66,0.7008264766669491,88.28469141563797,1.257782962933487,71.062
67,0.6976565030579989,88.3433068403432,1.25695600877611,70.93
68,0.7083747025902322,88.21587437069834,1.252359282833581,71.218
69,0.6855542635419742,88.63837071329357,1.2572758729968752,71.07
70,0.6844008967903719,88.69193658178989,1.2631336795736332,70.998
